"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017年11月7日","16.905","16.925","16.925","16.925","0.00K","-1.69%"
"2017年11月6日","17.195","17.205","17.225","17.205","0.01K","1.98%"
"2017年11月5日","16.861","16.851","16.869","16.816","-","0.40%"
"2017年11月3日","16.794","17.105","17.105","16.790","0.01K","-1.75%"
"2017年11月2日","17.094","17.065","17.065","17.060","0.02K","-0.22%"
"2017年11月1日","17.132","16.990","17.060","16.990","0.03K","2.93%"
"2017年10月31日","16.645","16.795","16.795","16.650","0.30K","-0.93%"
"2017年10月30日","16.802","16.715","16.845","16.715","0.12K","-0.21%"
"2017年10月29日","16.838","16.861","16.861","16.817","-","0.81%"
"2017年10月27日","16.702","16.702","16.702","16.702","0.00K","-0.37%"
"2017年10月26日","16.764","16.764","16.764","16.764","0.06K","-0.62%"
"2017年10月25日","16.868","16.868","16.868","16.868","0.03K","-0.23%"
"2017年10月24日","16.907","16.890","16.945","16.890","0.06K","-0.69%"
"2017年10月23日","17.024","16.920","16.920","16.870","0.02K","0.16%"
"2017年10月22日","16.996","17.044","17.044","16.979","-","-0.15%"
"2017年10月20日","17.022","17.170","17.170","16.990","0.02K","-1.04%"
"2017年10月19日","17.201","16.990","17.220","16.990","0.01K","1.52%"
"2017年10月18日","16.943","16.943","16.943","16.943","0.01K","-0.26%"
"2017年10月17日","16.987","17.000","17.010","17.000","0.06K","-1.89%"
"2017年10月16日","17.315","17.420","17.430","17.280","0.03K","-0.76%"
"2017年10月15日","17.447","17.421","17.449","17.403","-","0.53%"
"2017年10月13日","17.355","17.215","17.380","17.215","0.07K","0.84%"
"2017年10月12日","17.211","17.205","17.220","17.205","0.04K","0.76%"
"2017年10月11日","17.081","17.145","17.200","17.065","0.05K","-0.43%"
"2017年10月10日","17.155","16.935","17.165","16.925","0.03K","1.41%"
"2017年10月9日","16.916","16.865","16.930","16.865","0.00K","0.48%"
"2017年10月8日","16.835","16.817","16.862","16.812","-","0.60%"
"2017年10月6日","16.734","16.590","16.710","16.430","0.02K","0.92%"
"2017年10月5日","16.582","16.650","16.710","16.620","0.02K","0.11%"
"2017年10月4日","16.563","16.645","16.820","16.515","0.05K","-0.11%"
"2017年10月3日","16.581","16.530","16.585","16.530","0.04K","-0.02%"
"2017年10月2日","16.585","16.595","16.635","16.525","0.02K","-0.35%"
"2017年10月1日","16.644","16.660","16.670","16.621","-","0.22%"
"2017年9月29日","16.607","16.810","16.810","16.715","0.02K","-0.99%"
"2017年9月28日","16.773","16.750","16.830","16.655","0.18K","0.15%"
"2017年9月27日","16.748","16.700","16.815","16.695","0.04K","-0.33%"
"2017年9月26日","16.804","16.875","16.890","16.775","0.11K","-1.49%"
"2017年9月25日","17.059","16.850","17.090","16.810","0.17K","0.60%"
"2017年9月24日","16.957","17.033","17.033","16.931","-","0.32%"
"2017年9月22日","16.903","16.985","16.985","16.905","0.09K","-0.20%"
